"Line","Type Name","New Type Name","Type Description","Supertype"
"85H06","1-2","P-F1N3","PBG2-9.s-FBl1.b-NO3PM.b","FB columnar"
"SS02255",3,"P-F2N3","PBG2-9.s-FBl2.b-NO3A.b","FB columnar"
"15E12",3,"P-F2N3","PBG2-9.s-FBl2.b-NO3A.b","FB columnar"
"87G07",4,"P-F3N2d","PBG2-9.s-FBl3.b-NO2D.b","FB columnar"
"SS02242",5,"P-F3N2v","PBG2-9.s-FBl3.b-NO2V.b","FB columnar"
"67D09",5,"P-F3N2v","PBG2-9.s-FBl3.b-NO2V.b","FB columnar"
"SS02232",6,"P-EN","PBG2-9.s-EBt.b-NO1.b","EB columnar"
"37F06",6,"P-EN","PBG2-9.s-EBt.b-NO1.b","EB columnar"
"VT008135",6,"P-EN","PBG2-9.s-EBt.b-NO1.b","EB columnar"
"SS02191",7,"P-EG","PBG1-8.s-Ebt.b-Dvgall.b","EB columnar"
"60D05",8,"E-PG","PBG1-8.b-Ebw.s-Dvgall.b","EB columnar"
"SS02254",9,"P9-EG","PBG9.s-EB.P.s-gall-t.b","EB columnar"
"SS02267",10,"PF6-G","PB.s-FBl6.b.l3.s-Vgall-s.b","FB columnar"
"SS02270",11,"PF-rub","PBG1-8.s-FBl3,4,5.s.b-rub.b","FB columnar"
"84H05",12,"PF-LALCre","PBG1-7.s-FBl2.s-LAL.b-cre.b","FB columnar"
"84H05-VK22",12,"PF-LALCre","PBG1-7.s-FBl2.s-LAL.b-cre.b","FB columnar"
"SS02215",,"PF-LALCre","PBG1-7.s-FBl2.s-LAL.b-cre.b","FB columnar"
"SS02373",13,"PSLAL-PB","PB.b-LAL.s-PS.s","PB-input"
"55G08",15,"Delta7","PB18.s-GxΔ7Gy.b-PB18.s-9i1i8c.b","PB interneuron"
"55G08-attP5",15,"Delta7","PB18.s-GxΔ7Gy.b-PB18.s-9i1i8c.b","PB interneuron"
"47G08",17,"IBSPS-P","PBG2-9.b-IB.s.SPS.s","PB-input"
"SS02195",18,"P-Eneargall","PB.s-EB.b-near gall","EB columnar"
"49H05","ExF1","IMPLAL-F","LAL.s-IMP-FB.b ","FB linput"
"SS02728","ExF1","IMPLAL-F","LAL.s-IMP-FB.b ","FB input"
"75H04","LALRing1","LAL-Ebi","EBIRP I-O-LAL.s","Ring neuron"
"SS00057","LALRing1","LAL-Ebi","EBIRP I-O-LAL.s","Ring neuron"
"32A11","LALRing2","LAL-Ebm","EBMRP I-O-LAL.s","Ring neuron"
"SS00004","LALRing2","LAL-Ebm","EBMRP I-O-LAL.s","Ring neuron"
"18A05","GalRing1","Gall-Ebo","EBORP O-I-Gall-Bulb","Ring neuron"
"17H12","GalWedge","AMPGall-EB","EB.w-AMP.d-Dgallsurround","EB input"
"SS00027","GalWedge","AMPGall-EB","EB.w-AMP.d-Dgallsurround","EB input"
"12C11","EBFBGal","EFBG","EBMRA-FB-LT-LT-Gall-Gall","Other"
"76E11","NOLALGal","GLAL-NO","NO1-LAL-Gall","LAL-NO"
"12G04","NO3LAL","LAL-NO","NO3A.b-LAL.s","LAL-NO"
"SS00409","NOFB","FNO","NO-FB","NO-other"
"72H06","LALInt1","LAL-LAL1","LAL.s-LAL.b.contra","LAL-LAL"
"72H06-attP5","LALInt1","LAL-LAL1","LAL.s-LAL.b.contra","LAL-LAL"
"SS02540","LALInt1","LAL-LAL1","LAL.s-LAL.b.contra","LAL-LAL"
"21A07","Gall diffuse","Gall-?","Gall-diff","Other"
"26B07","dense LAL int","LAL-LAL2","LAL-LAL","LAL-LAL"
"SS02386","dense LAL int","LAL-LAL3","LAL-LAL","LAL-LAL"
"SS00935","dense LAL int","LAL-LAL4","LAL-LAL","LAL-LAL"
"31A11","GalLALCrepine","GallLAL-Cre","Gall-LAL-Cre","Other"
"SS02619","LAL PS","LAL-PS","LAL-PS","LAL-LAL"
"81B10","LAL PS","LAL-PS","LAL-PS","LAL-LAL"
"92C04","Pointy LAL Int","LAL-LAL5","PointyLALInt","LAL-LAL"
"26B10","Pointy LAL Int","LAL-LAL5","PointyLALInt","LAL-LAL"
"SS04448","NOLALGal","GLAL-NO","NO1-LAL-Gall","LAL-LAL"
"32E11","Type Name","Type Name","TBD","ZZ"
"SS00153","SPS-PB","SPS-PB","SPS.s-PB.b","PB-input"
